Crop,Stage,Becker DAP,Benton DAP,DAP Difference,Becker AGDD (°F),Benton AGDD (°F),AGDD Difference
Soybean,VE,14,13,-1,191.16,203.6,12.439999999999998
Soybean,V1,21,21,0,334.89,342.2,7.310000000000002
Soybean,V3,28,28,0,502.29,507.4,5.109999999999957
Soybean,V6,35,35,0,606.96,625.6,18.639999999999986
Soybean,V7,42,43,1,771.66,781.1,9.440000000000055
Soybean,V10,49,51,2,941.85,960.5,18.649999999999977
Soybean,R1,56,59,3,1101.6,1109.4,7.800000000000182
Soybean,R2,70,73,3,1350.81,1351.2,0.39000000000010004
Soybean,R3,83,54,-29,1011.15,1029.5,18.350000000000023
Soybean,R4,98,71,-27,1296.72,1314.6,17.87999999999988
Soybean,R5,112,85,-27,1600.11,1621.4,21.29000000000019
Soybean,R7,128,102,-26,1931.13,1944.0,12.86999999999989
Soybean,R8,135,108,-27,2074.86,2078.2,3.3399999999996908
