Crop,Stage,Becker DAP,Cass DAP,DAP Difference,Becker AGDD (°F),Cass AGDD (°F),AGDD Difference
Soybean,VE,14,13,-1,191.16,200.4,9.240000000000009
Soybean,V1,21,22,1,334.89,346.3,11.410000000000025
Soybean,V3,28,30,2,502.29,505.9,3.609999999999957
Soybean,V6,35,38,3,606.96,611.5,4.539999999999964
Soybean,V7,42,46,4,771.66,781.1,9.440000000000055
Soybean,V10,49,55,6,941.85,954.9,13.049999999999955
Soybean,R1,56,66,10,1101.6,1103.2,1.6000000000001364
Soybean,R2,70,80,10,1350.81,1364.4,13.590000000000146
Soybean,R3,83,60,-23,1011.15,1014.7,3.550000000000068
Soybean,R4,98,78,-20,1296.72,1319.4,22.680000000000064
Soybean,R5,112,94,-18,1600.11,1612.9,12.790000000000191
Soybean,R7,128,114,-14,1931.13,1938.6,7.4699999999998
Soybean,R8,135,122,-13,2074.86,2082.4,7.539999999999964
