Crop,Stage,Becker DAP,Pope DAP,DAP Difference,Becker AGDD (°F),Pope AGDD (°F),AGDD Difference
Soybean,VE,14,12,-2,191.16,195.8,4.640000000000015
Soybean,V1,21,20,-1,334.89,347.5,12.610000000000014
Soybean,V3,28,27,-1,502.29,517.0,14.70999999999998
Soybean,V6,35,32,-3,606.96,614.3,7.339999999999918
Soybean,V7,42,41,-1,771.66,772.9,1.240000000000009
Soybean,V10,49,49,0,941.85,948.7,6.850000000000023
Soybean,R1,56,57,1,1101.6,1104.2,2.6000000000001364
Soybean,R2,70,73,3,1350.81,1360.3,9.490000000000009
Soybean,R3,83,52,-31,1011.15,1011.5,0.35000000000002274
Soybean,R4,98,70,-28,1296.72,1303.0,6.279999999999973
Soybean,R5,112,84,-28,1600.11,1602.8,2.6900000000000546
Soybean,R7,128,101,-27,1931.13,1937.8,6.669999999999845
Soybean,R8,135,107,-28,2074.86,2076.9,2.0399999999999636
