Crop,Stage,Becker DAP,Stearns DAP,DAP Difference,Becker AGDD (°F),Stearns AGDD (°F),AGDD Difference
Soybean,VE,5,4,-1,62.5,75.9,13.400000000000006
Soybean,V1,12,11,-1,156.51,162.2,5.689999999999998
Soybean,V2,20,19,-1,251.73,252.2,0.46999999999999886
Soybean,V4,30,31,1,416.79,420.0,3.2099999999999795
Soybean,V6,36,38,2,518.67,533.9,15.230000000000018
Soybean,V8,44,47,3,662.04,682.4,20.360000000000014
Soybean,R1,51,55,4,800.46,813.6,13.139999999999986
Soybean,R2,69,74,5,1169.1,1188.3,19.200000000000045
Soybean,R3,80,84,4,1401.48,1414.2,12.720000000000027
Soybean,R4,92,100,8,1656.54,1672.0,15.460000000000036
Soybean,R5,107,113,6,1926.81,1930.9,4.0900000000001455
Soybean,R6,114,125,11,2090.25,2107.9,17.65000000000009
Soybean,R7,121,130,9,2197.53,2206.3,8.769999999999982
Soybean,R8,128,135,7,2322.18,2326.3,4.120000000000346
