Crop,Stage,Becker DAP,Todd DAP,DAP Difference,Becker AGDD (°F),Todd AGDD (°F),AGDD Difference
Soybean,VE,5,4,-1,62.5,75.8,13.299999999999997
Soybean,V1,12,12,0,156.51,164.7,8.189999999999998
Soybean,V2,20,22,2,251.73,262.1,10.370000000000033
Soybean,V4,30,34,4,416.79,422.5,5.7099999999999795
Soybean,V6,36,40,4,518.67,530.3,11.629999999999995
Soybean,V8,44,49,5,662.04,676.3,14.259999999999991
Soybean,R1,51,58,7,800.46,805.5,5.039999999999964
Soybean,R2,69,77,8,1169.1,1182.6,13.5
Soybean,R3,80,87,7,1401.48,1416.9,15.420000000000073
Soybean,R4,92,103,11,1656.54,1658.2,1.6600000000000819
Soybean,R5,107,118,11,1926.81,1932.3,5.490000000000009
Soybean,R6,114,129,15,2090.25,2109.2,18.949999999999818
Soybean,R7,121,133,12,2197.53,2205.8,8.269999999999982
Soybean,R8,128,141,13,2322.18,2325.0,2.8200000000001637
